half_spread,inventory_penalty,final_pnl_mean,final_pnl_std,average_pnl_mean,average_pnl_std,pnl_volatility_mean,pnl_volatility_std,risk_adjusted_pnl_mean,risk_adjusted_pnl_std,max_drawdown_mean,max_drawdown_std,fill_rate_mean,fill_rate_std,bid_fill_rate_mean,bid_fill_rate_std,ask_fill_rate_mean,ask_fill_rate_std,average_inventory_mean,average_inventory_std,inventory_std_mean,inventory_std_std,max_absolute_inventory_mean,max_absolute_inventory_std,spread_capture_mean,spread_capture_std,adverse_selection_cost_mean,adverse_selection_cost_std,inventory_penalty_cost_mean,inventory_penalty_cost_std,final_cash_mean,final_cash_std,final_cash_pnl_mean,final_cash_pnl_std,final_mark_to_market_wealth_mean,final_mark_to_market_wealth_std,n_runs
0.2,0.0,38.28034902049725,41.81451779811749,19.25339289587285,17.08176436038121,1.6466172954490599,0.7477143440752408,1.331212759939452,1.218514791681734,39.83401165328604,31.76782475045255,0.2692,0.012988456413292531,0.27,0.01754992877478424,0.2684,0.018622566955175654,-1.8088000000000002,6.498599633767262,5.480672561421484,2.603899257479463,14.8,5.890670590009257,53.84000000000076,2.5976912826585443,5.990512170731941,0.9737915944861388,0.0,0.0,-59.177015783038755,1267.8516868886136,-59.177015783038755,1267.8516868886136,38.28034902049725,41.81451779811749,5
0.2,0.01,29.698885494695492,30.375777263777373,17.93982262335709,10.80604761066769,1.0570820942035353,0.584376306895067,1.8495646957238008,1.3807225748767311,26.246143352719645,30.774327815680365,0.271,0.014159802258506271,0.2716,0.015646085772486343,0.27040000000000003,0.015388307249337083,0.3336,2.199077715770864,4.360258607790486,2.221064405073882,10.6,3.507135583350036,53.336000000000794,2.934404539254894,6.601488217529709,1.4286633300488065,134.692,128.7345958551933,-36.45304605302566,656.6644885819638,-36.45304605302566,656.6644885819638,29.698885494695492,30.375777263777373,5
0.2,0.03,36.12516344279444,10.7452298299726,19.91860843266045,5.312723853746451,0.6702473748812255,0.27909529759618534,2.8544084053726175,1.388411529560516,14.9027879596885,13.107986380955738,0.2704,0.016846364592991568,0.26959999999999995,0.016697305171793436,0.2712,0.01792205345377588,0.3496,0.7692768032379502,3.0276525129954868,0.9669996513392081,7.8,2.16794833886788,51.49800000000064,3.5101809070189014,8.519423154727274,2.230486509951954,157.65600000000023,110.86593539045253,109.68644627677108,405.6011208224032,109.68644627677108,405.6011208224032,36.12516344279444,10.7452298299726,5
0.2,0.05,37.96439049360086,9.892656385700485,19.597235679368488,4.91284384236879,0.5687113466770105,0.17908020242430148,3.2692330657225996,1.2768086514465915,12.22416879397818,7.739949323695947,0.2714,0.015757537878742338,0.2712,0.014601369798755174,0.2716,0.01728583234906552,0.43520000000000003,0.649685462358517,2.5739081749839565,0.5932165569490285,7.2,1.9235384061671346,50.91000000000072,3.7625456807857662,11.220287232831524,2.705683837506451,185.8400000000001,92.26355185012112,53.079724116522264,282.2513804689309,53.079724116522264,282.2513804689309,37.96439049360086,9.892656385700485,5
0.4,0.0,61.77132544000729,33.92601566274547,29.44790667283209,14.564842272720169,1.117874501245153,0.47674601001517913,3.2286400792232777,2.249695945884987,22.85903942873971,20.569377256311267,0.2152,0.014855975228843112,0.21879999999999997,0.016709278859364334,0.2116,0.018077610461562674,0.14920000000000008,3.510633731963504,4.264491823106582,2.452705009437818,11.6,3.7815340802378077,86.08000000000122,5.942390091537324,0.61050385609297,0.7123550986457876,0.0,0.0,-308.65022084272925,910.2373557115636,-308.65022084272925,910.2373557115636,61.77132544000729,33.92601566274547,5
0.4,0.01,61.02419876208925,30.669581342440388,32.64709862836943,9.772119053361168,1.019397544012347,0.6223396476111052,3.7185979392528052,2.215075514581906,24.194093241187023,30.81214260909073,0.2156,0.01327780102275976,0.2192,0.015974980438172696,0.21200000000000002,0.014899664425751344,0.8488,1.7398474645784325,4.2261442006991805,2.4623130372925544,10.8,4.266145801540309,85.68400000000125,5.426907959418588,0.802294207007975,1.0141919104235566,129.264,143.34066530472066,-306.4902247694521,805.7513744747885,-306.4902247694521,805.7513744747885,61.02419876208925,30.669581342440388,5
0.4,0.03,67.70221243553263,17.43611612215846,36.36735466628413,5.922590639037736,0.7497343073803354,0.28059023725117344,4.610221522217956,1.9461431940350775,13.873802070747502,15.298439054401072,0.2158,0.013367871932360812,0.2164,0.013296616110875733,0.2152,0.014463747785411638,0.2112,0.8067324215624408,3.254365465154666,1.0118338668036442,8.6,1.816590212458495,83.8780000000012,5.176153977617067,1.3918401787703516,1.3650964758641586,179.62800000000024,115.70153443234884,2.4948706914696346,386.92793923229357,2.4948706914696346,386.92793923229357,67.70221243553263,17.43611612215846,5
0.4,0.05,70.76317551179247,13.396836763144847,36.59785512319366,5.291846280492194,0.5869146325885397,0.13127747496064474,5.647703304909437,1.5603777496391102,8.518921572371164,6.669257895135168,0.21539999999999998,0.01301153334545933,0.21600000000000003,0.012328828005937953,0.21480000000000002,0.014042791745233566,0.0504,0.5206369176307036,2.5151617094899423,0.43956110939722187,6.6,1.1401754250991378,81.86000000000121,4.961778914865128,1.9425162437509726,1.3141272907802908,167.49999999999994,58.784553668459466,7.341128504966173,237.7763727964055,7.341128504966173,237.7763727964055,70.76317551179247,13.396836763144847,5
0.6,0.0,87.24678649719978,22.871755338906304,40.06775295569853,11.142510324810727,1.0773409638290443,0.4078517550997755,4.287366105938823,2.262053802717622,18.44197824912508,10.894868114133663,0.16599999999999998,0.012103718436910195,0.1684,0.012280065146407,0.16360000000000002,0.01577339532250427,-0.9072000000000001,4.26507223854415,3.7417721985311703,1.4779445246267122,11.6,4.929503017546495,99.59999999999906,7.2622310621460535,0.20470005597403826,0.3717697634204425,0.0,0.0,-165.9387793724421,718.4551584957476,-165.9387793724421,718.4551584957476,87.24678649719978,22.871755338906304,5
0.6,0.01,83.97829850818769,20.27958689544751,41.61660696551854,8.342721563150057,0.825728011365331,0.2188690510499752,5.018834666859073,2.219650617373281,12.287854521183998,7.3547076623494965,0.1672,0.010871982339941515,0.1696,0.00993981891183134,0.1648,0.013160547101089671,0.041999999999999996,1.8905729290350055,3.3108788716592294,1.197760565180131,9.0,3.1622776601683795,99.70599999999902,6.413386780788988,0.2207000559740379,0.4022267870148548,74.85400000000014,46.12358648240634,-163.15086533374915,422.52798348120734,-163.15086533374915,422.52798348120734,83.97829850818769,20.27958689544751,5
