time_step,fair_value,mid_price,quote_reference,bid_quote,ask_quote,bid_fill,ask_fill,bid_fill_probability,ask_fill_probability,bid_trade_size,ask_trade_size,inventory,cash,mark_to_market_wealth,realized_pnl,unrealized_pnl,total_pnl,step_spread_capture,spread_capture,step_adverse_selection_cost,adverse_selection_cost,step_inventory_penalty_cost,inventory_penalty_cost,strategy
1,100.06094341595089,100.06094341595089,100.0,99.5,100.5,False,False,0.1321270672008078,0.219634157326009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inventory_aware
2,100.21103365511217,100.21103365511217,100.06094341595089,99.56094341595089,100.56094341595089,False,False,0.1321270672008078,0.219634157326009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inventory_aware
3,99.82082661738141,99.82082661738141,100.21103365511217,99.71103365511217,100.71103365511217,False,False,0.219634157326009,0.1321270672008078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inventory_aware
4,99.84639469801488,99.84639469801488,99.82082661738141,99.32082661738141,100.32082661738141,False,False,0.1321270672008078,0.219634157326009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inventory_aware
5,99.84303446651401,99.84303446651401,99.84639469801488,99.34639469801488,100.34639469801488,False,False,0.219634157326009,0.1321270672008078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inventory_aware
6,100.01891406148658,100.01891406148658,99.84303446651401,99.34303446651401,100.34303446651401,False,False,0.1321270672008078,0.219634157326009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inventory_aware
7,100.03212020099883,100.03212020099883,100.01891406148658,99.51891406148658,100.51891406148658,False,False,0.1321270672008078,0.219634157326009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inventory_aware
8,100.12562206944924,100.12562206944924,100.03212020099883,99.53212020099883,100.53212020099883,False,False,0.1321270672008078,0.219634157326009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inventory_aware
9,100.19937222626574,100.19937222626574,100.12562206944924,99.62562206944924,100.62562206944924,False,False,0.1321270672008078,0.219634157326009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inventory_aware
10,100.3750622865272,100.3750622865272,100.19937222626574,99.69937222626574,100.69937222626574,True,True,0.1321270672008078,0.219634157326009,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,inventory_aware
11,100.33808981381814,100.33808981381814,100.3750622865272,99.8750622865272,100.8750622865272,False,False,0.219634157326009,0.1321270672008078,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,inventory_aware
